"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"2102077";"Bom Lugar (MA)";"117982,93"
"2102101";"Brejo (MA)";"328697,41"
"2102150";"Brejo de Areia (MA)";"71081,75"
"2102200";"Buriti (MA)";"277994,98"
"2102309";"Buriti Bravo (MA)";"238709,75"
"2102325";"Buriticupu (MA)";"748132,11"
"2102358";"Buritirana (MA)";"122497,24"
"2102374";"Cachoeira Grande (MA)";"60991,98"
"2102408";"Cajapió (MA)";"70672,71"
"2102507";"Cajari (MA)";"128110,74"
"2102556";"Campestre do Maranhão (MA)";"214038,50"
"2102606";"Cândido Mendes (MA)";"146820,81"
"2102705";"Cantanhede (MA)";"153435,91"
"2102754";"Capinzal do Norte (MA)";"284011,07"
"2102804";"Carolina (MA)";"525939,63"
"2102903";"Carutapera (MA)";"202040,30"
"2103000";"Caxias (MA)";"2112940,78"
"2103109";"Cedral (MA)";"78601,93"
"2103125";"Central do Maranhão (MA)";"58363,24"
"2103158";"Centro do Guilherme (MA)";"103760,85"
"2103174";"Centro Novo do Maranhão (MA)";"200804,87"
"2103208";"Chapadinha (MA)";"894508,83"
"2103257";"Cidelândia (MA)";"183587,77"
"2103307";"Codó (MA)";"1648785,85"
"2103406";"Coelho Neto (MA)";"462763,07"
"2103505";"Colinas (MA)";"553252,85"
"2103554";"Conceição do Lago-Açu (MA)";"147232,01"
"2103604";"Coroatá (MA)";"533669,77"
"2103703";"Cururupu (MA)";"264587,58"
"2103752";"Davinópolis (MA)";"190230,49"
"2103802";"Dom Pedro (MA)";"262586,27"
